Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Country
Alsace,alsace,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b87ded5badda36ebe2ae4,false,false,Wed Mar 24 2021 18:41:34 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 15:26:15 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 07:38:22 GMT+0000 (Coordinated Universal Time),france
Aquitaine,aquitaine,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b874ad019767574cfe899,false,false,Wed Mar 24 2021 18:39:06 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 15:26:42 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 07:38:22 GMT+0000 (Coordinated Universal Time),france
Auvergne,auvergne,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b8776e8585e2357a36cd1,false,false,Wed Mar 24 2021 18:39:50 GMT+0000 (Coordinated Universal Time),Fri Apr 23 2021 14:02:30 GMT+0000 (Coordinated Universal Time),Fri Apr 23 2021 14:07:31 GMT+0000 (Coordinated Universal Time),france
Bourgogne,bourgogne,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b87b62021acd2409b74a4,false,false,Wed Mar 24 2021 18:40:54 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 15:26:10 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 07:38:22 GMT+0000 (Coordinated Universal Time),france
Bretagne,bretagne,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,60520728668a0411e3dbc7d9,false,false,Wed Mar 17 2021 13:42:00 GMT+0000 (Coordinated Universal Time),Wed Mar 17 2021 13:42:00 GMT+0000 (Coordinated Universal Time),Wed Mar 17 2021 15:18:49 GMT+0000 (Coordinated Universal Time),france
Centre,centre,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b876330e61d490c0c08b8,false,false,Wed Mar 24 2021 18:39:31 GMT+0000 (Coordinated Universal Time),Thu Apr 22 2021 10:22:32 GMT+0000 (Coordinated Universal Time),Thu Apr 22 2021 15:27:04 GMT+0000 (Coordinated Universal Time),france
Champagne-Ardenne,champagne-ardenne,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b87d26df07d2deb668431,false,false,Wed Mar 24 2021 18:41:22 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 15:26:19 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 07:38:22 GMT+0000 (Coordinated Universal Time),france
Franche-Comté,franche-comte,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b87bfe8585e0db4a36dfa,false,false,Wed Mar 24 2021 18:41:03 GMT+0000 (Coordinated Universal Time),Thu Mar 25 2021 15:33:13 GMT+0000 (Coordinated Universal Time),Thu Mar 25 2021 15:42:49 GMT+0000 (Coordinated Universal Time),france
Ile-de-France,ile-de-france,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b88144d913a186d1dbefa,false,false,Wed Mar 24 2021 18:42:28 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 15:26:50 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 07:38:22 GMT+0000 (Coordinated Universal Time),france
Languedoc-Roussillon,languedoc-roussillon,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b8784b94b7736bff8a570,false,false,Wed Mar 24 2021 18:40:04 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 15:26:31 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 07:38:22 GMT+0000 (Coordinated Universal Time),france
Limousin,limousin,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b876b96f6d87d562eb4b1,false,false,Wed Mar 24 2021 18:39:39 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 08:18:28 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 08:23:46 GMT+0000 (Coordinated Universal Time),france
Lorraine,lorraine,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b87c7af97d3b507511154,false,false,Wed Mar 24 2021 18:41:11 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 15:26:22 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 07:38:22 GMT+0000 (Coordinated Universal Time),france
Midi-Pyrénées,midi-pyrenees,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b87568d28ea04f73b01e6,false,false,Wed Mar 24 2021 18:39:18 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 15:26:35 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 07:38:22 GMT+0000 (Coordinated Universal Time),france
Nord-Pas-de-Calais,nord-pas-de-calais,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b87f0d019762047cfec88,false,false,Wed Mar 24 2021 18:41:52 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 13:15:48 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 13:15:48 GMT+0000 (Coordinated Universal Time),france
Normandie,normandie,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,60521344c32543b9341040c2,false,false,Wed Mar 17 2021 14:33:40 GMT+0000 (Coordinated Universal Time),Wed Mar 17 2021 14:33:40 GMT+0000 (Coordinated Universal Time),Wed Mar 17 2021 15:18:49 GMT+0000 (Coordinated Universal Time),france
Pays de la Loire,pays-de-la-loire,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b8730616081022cf0f9c8,false,false,Wed Mar 24 2021 18:38:40 GMT+0000 (Coordinated Universal Time),Sat Apr 17 2021 15:59:45 GMT+0000 (Coordinated Universal Time),Sat Apr 17 2021 16:01:51 GMT+0000 (Coordinated Universal Time),france
Picardie,picardie,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b87e4ec6be87fd47f92ab,false,false,Wed Mar 24 2021 18:41:40 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 15:26:47 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 07:38:22 GMT+0000 (Coordinated Universal Time),france
Poitou Charentes,poitou-charentes,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b873e5a336e281787a804,false,false,Wed Mar 24 2021 18:38:54 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 15:26:38 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 07:38:22 GMT+0000 (Coordinated Universal Time),france
Provence-Alpes-Côte d'azur (PACA),provence-alpes-cote-dazur-paca,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b879ce470ba8d047ee80e,false,false,Wed Mar 24 2021 18:40:28 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 15:26:26 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 07:38:22 GMT+0000 (Coordinated Universal Time),france
Rhône-Alpes,rhone-alpes,60520618f4b0d139334ad5ed,653acfd9e882f528b3ed2e72,605b87a6af97d34c3a5110d8,false,false,Wed Mar 24 2021 18:40:38 GMT+0000 (Coordinated Universal Time),Wed Mar 31 2021 12:03:29 GMT+0000 (Coordinated Universal Time),Wed Mar 31 2021 12:13:40 GMT+0000 (Coordinated Universal Time),france
